"volcano_number" "volcano_name" "eruption_number" "eruption_category" "area_of_activity" "vei" "start_year" "start_month" "start_day" "evidence_method_dating" "end_year" "end_month" "end_day" "latitude" "longitude" "start_date" "end_date" "eruption_length_in_days"
"49" 312070 "Veniaminof" 22290 "Confirmed Eruption" NA "1" 2018 9 4 "Historical Observations" 2018 12 23 56.17 -159.38 2018-09-04 2018-12-23 110
"50" 290390 "Alaid" 22281 "Confirmed Eruption" NA "1" 2018 8 20 "Historical Observations" 2018 8 21 50.861 155.565 2018-08-20 2018-08-21 1
"51" 352090 "Sangay" 22283 "Confirmed Eruption" NA "2" 2018 8 8 "Historical Observations" 2018 12 7 -2.005 -78.341 2018-08-08 2018-12-07 121
"52" 345020 "Rincon de la Vieja" 22282 "Confirmed Eruption" NA "1" 2018 7 28 "Historical Observations" 2019 6 11 10.83 -85.324 2018-07-28 2019-06-11 318
"53" 284096 "Nishinoshima" 22280 "Confirmed Eruption" NA "1" 2018 7 12 "Historical Observations" 2018 7 21 27.247 140.874 2018-07-12 2018-07-21 9
"54" 233005 "Mayotte" 22337 "Confirmed Eruption" "About 50 km E of the eastern tip of Mayotte Island" "0" 2018 7 3 "Seismicity" 2019 8 20 -12.83 45.17 2018-07-03 2019-08-20 413
"55" 353050 "Negra, Sierra" 22279 "Confirmed Eruption" "Summit crater and NNW flank" "2" 2018 6 26 "Historical Observations" 2018 8 23 -0.83 -91.17 2018-06-26 2018-08-23 58
"56" 344040 "Telica" 22277 "Confirmed Eruption" NA "1" 2018 6 21 "Historical Observations" 2018 8 15 12.606 -86.84 2018-06-21 2018-08-15 55
"57" 262000 "Krakatau" 22275 "Confirmed Eruption" NA "3" 2018 6 18 "Historical Observations" 2020 4 17 -6.102 105.423 2018-06-18 2020-04-17 669
"58" 353010 "Fernandina" 22278 "Confirmed Eruption" NA "1" 2018 6 16 "Historical Observations" 2018 6 21 -0.37 -91.55 2018-06-16 2018-06-21 5
"59" 311120 "Great Sitkin" 22276 "Confirmed Eruption" NA "1" 2018 6 10 "Historical Observations" 2018 8 11 52.076 -176.13 2018-06-10 2018-08-11 62
"60" 252120 "Ulawun" 22285 "Confirmed Eruption" NA "1" 2018 6 8 "Historical Observations" 2018 6 8 -5.05 151.33 2018-06-08 2018-06-08 0
"61" 263250 "Merapi" 22264 "Confirmed Eruption" NA "3" 2018 5 11 "Historical Observations" 2020 4 17 -7.54 110.446 2018-05-11 2020-04-17 707
"62" 300130 "Karymsky" 22265 "Confirmed Eruption" NA "3" 2018 4 28 "Historical Observations" 2018 9 30 54.049 159.443 2018-04-28 2018-09-30 155
"63" 261140 "Marapi" 22262 "Confirmed Eruption" "Verbeek Crater" "2" 2018 4 27 "Historical Observations" 2018 5 2 -0.38 100.474 2018-04-27 2018-05-02 5
"64" 344020 "San Cristobal" 22266 "Confirmed Eruption" NA "1" 2018 4 22 "Historical Observations" 2018 4 22 12.702 -87.004 2018-04-22 2018-04-22 0
"65" 261170 "Kerinci" 22274 "Confirmed Eruption" NA "1" 2018 4 21 "Historical Observations" 2020 4 17 -1.697 101.264 2018-04-21 2020-04-17 727
"66" 223020 "Nyamuragira" 22315 "Confirmed Eruption" "Summit caldera" "0" 2018 4 18 "Historical Observations" 2020 4 7 -1.408 29.2 2018-04-18 2020-04-07 720
"67" 233020 "Fournaise, Piton de la" 22261 "Confirmed Eruption" NA "0" 2018 4 3 "Historical Observations" 2018 11 1 -21.244 55.708 2018-04-03 2018-11-01 212
"68" 263200 "Dieng Volcanic Complex" 22263 "Confirmed Eruption" "Sileri Crater" "1" 2018 4 1 "Historical Observations" 2018 4 1 -7.2 109.879 2018-04-01 2018-04-01 0
"69" 282090 "Kirishimayama" 22257 "Confirmed Eruption" "Shinmoedake" "3" 2018 3 1 "Historical Observations" 2018 6 27 31.934 130.862 2018-03-01 2018-06-27 118
"70" 352090 "Sangay" 22259 "Confirmed Eruption" "Summit crater" "1" 2018 2 25 "Historical Observations" 2018 2 25 -2.005 -78.341 2018-02-25 2018-02-25 0
"71" 267020 "Karangetang" 22256 "Confirmed Eruption" NA "1" 2018 2 2 "Historical Observations" 2018 2 2 2.781 125.407 2018-02-02 2018-02-02 0
"72" 283120 "Kusatsu-Shiranesan" 22258 "Confirmed Eruption" "Motoshiranesan" "1" 2018 1 23 "Historical Observations" 2018 1 23 36.618 138.528 2018-01-23 2018-01-23 0
"73" 343100 "San Miguel" 22251 "Confirmed Eruption" NA "1" 2018 1 14 "Historical Observations" 2018 5 30 13.434 -88.269 2018-01-14 2018-05-30 136
