"year" "core_loc" "value"
"244" 695.875 "wdc" 8.3501
"245" 695.792 "neem" 12.21
"246" 695.792 "wdc" 8.6414
"247" 695.708 "neem" 14
"248" 695.708 "wdc" 9.2207
"249" 695.625 "neem" 15.52
"250" 695.625 "wdc" 10.201
"251" 695.542 "neem" 16.86
"252" 695.542 "wdc" 11.539
"253" 695.458 "neem" 18.12
"254" 695.458 "wdc" 12.943
"255" 695.375 "neem" 19.28
"256" 695.375 "wdc" 14.439
"257" 695.292 "neem" 20.93
"258" 695.292 "wdc" 15.754
"259" 695.208 "neem" 21.98
"260" 695.208 "wdc" 15.683
"261" 695.125 "neem" 22.51
"262" 695.125 "wdc" 15.047
"263" 695.042 "neem" 24.85
"264" 695.042 "wdc" 14.509
"265" 694.958 "neem" 28.36
"266" 694.958 "wdc" 13.498
"267" 694.875 "neem" 32.8
"268" 694.875 "wdc" 12.127
"269" 694.792 "neem" 36.59
"270" 694.792 "wdc" 10.662
"271" 694.708 "neem" 39.19
"272" 694.708 "wdc" 10.21
"273" 694.625 "neem" 36.25
"274" 694.625 "wdc" 10.374
"275" 694.542 "neem" 27.14
"276" 694.542 "wdc" 11.271
"277" 694.458 "neem" 18.89
"278" 694.458 "wdc" 11.762
"279" 694.375 "neem" 13.23
"280" 694.375 "wdc" 12.596
"281" 694.292 "neem" 11.15
"282" 694.292 "wdc" 12.653
"283" 694.208 "neem" 11.28
"284" 694.208 "wdc" 12.197
"285" 694.125 "neem" 12.23
"286" 694.125 "wdc" 11.295
"287" 694.042 "neem" 12.75
"288" 694.042 "wdc" 10.281
"289" 693.958 "neem" 11.56
"290" 693.958 "wdc" 9.3253
"291" 693.875 "neem" 9.37
"292" 693.875 "wdc" 8.4009
"293" 693.792 "neem" 7.44
"294" 693.792 "wdc" 7.4941
"295" 693.708 "neem" 6.43
"296" 693.708 "wdc" 7.2562
"297" 693.625 "neem" 5.98
"298" 693.625 "wdc" 7.2408
"299" 693.542 "neem" 5.99
"300" 693.542 "wdc" 7.799
"301" 693.458 "neem" 7.22
"302" 693.458 "wdc" 8.8168
"303" 693.375 "neem" 8.49
"304" 693.375 "wdc" 9.5625
"305" 693.292 "neem" 9.93
"306" 693.292 "wdc" 10.226
"307" 693.208 "neem" 11.3
"308" 693.208 "wdc" 10.481
"309" 693.125 "neem" 11.85
"310" 693.125 "wdc" 10.354
"311" 693.042 "neem" 11.23
"312" 693.042 "wdc" 9.0397
"313" 692.958 "neem" 10.02
"314" 692.958 "wdc" 7.8737
"315" 692.875 "neem" 8.5
"316" 692.875 "wdc" 7.3363
"317" 692.792 "neem" 7.42
"318" 692.792 "wdc" 7.0454
"319" 692.708 "neem" 7.28
"320" 692.708 "wdc" 7.0418
"321" 692.625 "neem" 7.21
"322" 692.625 "wdc" 7.3274
"323" 692.542 "neem" 6.79
"324" 692.542 "wdc" 7.5952
"325" 692.458 "neem" 6.88
"326" 692.458 "wdc" 7.8572
"327" 692.375 "neem" 8
"328" 692.375 "wdc" 8.9776
"329" 692.292 "neem" 9.77
"330" 692.292 "wdc" 10.529
"331" 692.208 "neem" 11.31
"332" 692.208 "wdc" 11.501
"333" 692.125 "neem" 12.52
"334" 692.125 "wdc" 11.407
"335" 692.042 "neem" 12.51
"336" 692.042 "wdc" 10.057
"337" 691.958 "neem" 12.38
"338" 691.958 "wdc" 9.2448
"339" 691.875 "neem" 12.47
"340" 691.875 "wdc" 8.7015
"341" 691.792 "neem" 13.21
"342" 691.792 "wdc" 8.1699
"343" 691.708 "neem" 14.41
"344" 691.708 "wdc" 8.2377
"345" 691.625 "neem" 16.05
"346" 691.625 "wdc" 9.111
"347" 691.542 "neem" 18.16
"348" 691.542 "wdc" 10.076
"349" 691.458 "neem" 20
"350" 691.458 "wdc" 11.187
"351" 691.375 "neem" 22.08
"352" 691.375 "wdc" 11.732
"353" 691.292 "neem" 24.1
"354" 691.292 "wdc" 12.445
"355" 691.208 "neem" 24.41
"356" 691.208 "wdc" 12.678
"357" 691.125 "neem" 24.01
"358" 691.125 "wdc" 12.479
"359" 691.042 "neem" 23.25
"360" 691.042 "wdc" 12.201
"361" 690.958 "neem" 20.22
"362" 690.958 "wdc" 12.241
"363" 690.875 "neem" 15.22
"364" 690.875 "wdc" 12.581
"365" 690.792 "neem" 12.24
"366" 690.792 "wdc" 13.643
"367" 690.708 "neem" 11.05
"368" 690.708 "wdc" 15.039
"369" 690.625 "neem" 10.24
"370" 690.625 "wdc" 16.091
"371" 690.542 "neem" 10.14
"372" 690.542 "wdc" 17.603
"373" 690.458 "neem" 9.79
"374" 690.458 "wdc" 19.041
"375" 690.375 "neem" 9.07
"376" 690.375 "wdc" 20.405
"377" 690.292 "neem" 9.25
"378" 690.292 "wdc" 20.66
"379" 690.208 "neem" 10.05
"380" 690.208 "wdc" 20.184
"381" 690.125 "neem" 10.85
"382" 690.125 "wdc" 19.052
"383" 690.042 "neem" 11.19
"384" 690.042 "wdc" 18.165
"385" 689.958 "neem" 11.56
"386" 689.958 "wdc" 17.073
"387" 689.875 "neem" 11.18
"388" 689.875 "wdc" 16.448
"389" 689.792 "neem" 11
"390" 689.792 "wdc" 15.807
"391" 689.708 "neem" 12.2
"392" 689.708 "wdc" 16.013
"393" 689.625 "neem" 13.76
"394" 689.625 "wdc" 16.516
"395" 689.542 "neem" 16.91
"396" 689.542 "wdc" 17.607
"397" 689.458 "neem" 21.11
"398" 689.458 "wdc" 19.151
"399" 689.375 "neem" 25.22
"400" 689.375 "wdc" 20.378
"401" 689.292 "neem" 29.75
"402" 689.292 "wdc" 21.35
"403" 689.208 "neem" 34.42
"404" 689.208 "wdc" 20.736
"405" 689.125 "neem" 35.12
"406" 689.125 "wdc" 19.222
"407" 689.042 "neem" 32
"408" 689.042 "wdc" 17.361
"409" 688.958 "neem" 27.93
"410" 688.958 "wdc" 15.615
"411" 688.875 "neem" 24.35
"412" 688.875 "wdc" 14.116
"413" 688.792 "neem" 22.11
"414" 688.792 "wdc" 12.919
"415" 688.708 "neem" 21.63
"416" 688.708 "wdc" 12.952
"417" 688.625 "neem" 22.98
"418" 688.625 "wdc" 13.244
"419" 688.542 "neem" 26.26
"420" 688.542 "wdc" 13.69
"421" 688.458 "neem" 30.14
"422" 688.458 "wdc" 14.819
"423" 688.375 "neem" 33.98
"424" 688.375 "wdc" 15.975
"425" 688.292 "neem" 37.48
"426" 688.292 "wdc" 16.203
"427" 688.208 "neem" 39.34
"428" 688.208 "wdc" 16.288
"429" 688.125 "neem" 38.58
"430" 688.125 "wdc" 16.057
"431" 688.042 "neem" 34.93
"432" 688.042 "wdc" 15.485
"433" 687.958 "neem" 29.88
"434" 687.958 "wdc" 14.495
"435" 687.875 "neem" 24.16
"436" 687.875 "wdc" 13.589
"437" 687.792 "neem" 19.83
"438" 687.792 "wdc" 12.388
"439" 687.708 "neem" 17.74
"440" 687.708 "wdc" 13.011
"441" 687.625 "neem" 17.95
"442" 687.625 "wdc" 14.356
"443" 687.542 "neem" 19.19
"444" 687.542 "wdc" 16.598
"445" 687.458 "neem" 20.42
"446" 687.458 "wdc" 18.783
"447" 687.375 "neem" 20.79
"448" 687.375 "wdc" 21.002
"449" 687.292 "neem" 20.83
"450" 687.292 "wdc" 21.546
"451" 687.208 "neem" 20.35
"452" 687.208 "wdc" 22.824
"453" 687.125 "neem" 19.77
"454" 687.125 "wdc" 23.53
"455" 687.042 "neem" 19.36
"456" 687.042 "wdc" 23.318
"457" 686.958 "neem" 19.12
"458" 686.958 "wdc" 23.344
"459" 686.875 "neem" 19.11
"460" 686.875 "wdc" 23.551
"461" 686.792 "neem" 19.03
"462" 686.792 "wdc" 24.724
"463" 686.708 "neem" 19.21
"464" 686.708 "wdc" 25.775
"465" 686.625 "neem" 20.21
"466" 686.625 "wdc" 27.863
"467" 686.542 "neem" 21.88
"468" 686.542 "wdc" 30.081
"469" 686.458 "neem" 23.36
"470" 686.458 "wdc" 31.264
"471" 686.375 "neem" 23.81
"472" 686.375 "wdc" 32.623
"473" 686.292 "neem" 23.57
"474" 686.292 "wdc" 33.609
"475" 686.208 "neem" 22.89
"476" 686.208 "wdc" 33.011
"477" 686.125 "neem" 21.94
"478" 686.125 "wdc" 32.194
"479" 686.042 "neem" 19.98
"480" 686.042 "wdc" 30.287
"481" 685.958 "neem" 18.37
"482" 685.958 "wdc" 28.396
"483" 685.875 "neem" 17.08
"484" 685.875 "wdc" 26.174
"485" 685.792 "neem" 16.12
"486" 685.792 "wdc" 24.84
"487" 685.708 "neem" 14.97
"488" 685.708 "wdc" 23.988
"489" 685.625 "neem" 14.4
"490" 685.625 "wdc" 24.354
"491" 685.542 "neem" 14.35
"492" 685.542 "wdc" 24.68
"493" 685.458 "neem" 14.74
"494" 685.458 "wdc" 24.807
"495" 685.375 "neem" 15.49
"496" 685.375 "wdc" 25.435
"497" 685.292 "neem" 16.26
"498" 685.292 "wdc" 25.712
"499" 685.208 "neem" 16.59
"500" 685.208 "wdc" 25.016
"501" 685.125 "neem" 16.65
"502" 685.125 "wdc" 22.978
"503" 685.042 "neem" 16.35
"504" 685.042 "wdc" 19.162
"505" 684.958 "neem" 15.13
"506" 684.958 "wdc" 16.012
"507" 684.875 "neem" 13.88
"508" 684.875 "wdc" 15.13
"509" 684.792 "neem" 13.45
"510" 684.792 "wdc" 14.71
"511" 684.708 "neem" 13.57
"512" 684.708 "wdc" 16.176
"513" 684.625 "neem" 13.96
"514" 684.625 "wdc" 18.02
"515" 684.542 "neem" 14.95
"516" 684.542 "wdc" 20.845
"517" 684.458 "neem" 16.53
"518" 684.458 "wdc" 24.394
"519" 684.375 "neem" 18.89
"520" 684.375 "wdc" 27.32
"521" 684.292 "neem" 21.67
"522" 684.292 "wdc" 28.321
"523" 684.208 "neem" 23.81
"524" 684.208 "wdc" 28.33
"525" 684.125 "neem" 25.19
"526" 684.125 "wdc" 28.421
"527" 684.042 "neem" 26.04
"528" 684.042 "wdc" 28.235
"529" 683.958 "neem" 27.06
"530" 683.958 "wdc" 27.521
"531" 683.875 "neem" 28.49
"532" 683.875 "wdc" 27.866
"533" 683.792 "neem" 31.58
"534" 683.792 "wdc" 28.746
"535" 683.708 "neem" 36.63
"536" 683.708 "wdc" 30.959
"537" 683.625 "neem" 42.95
"538" 683.625 "wdc" 34.511
"539" 683.542 "neem" 50.21
"540" 683.542 "wdc" 38.482
"541" 683.458 "neem" 59.78
"542" 683.458 "wdc" 43.164
"543" 683.375 "neem" 71.67
"544" 683.375 "wdc" 48.046
"545" 683.292 "neem" 84.47
"546" 683.292 "wdc" 51.367
"547" 683.208 "neem" 96.14
"548" 683.208 "wdc" 51.318
"549" 683.125 "neem" 104.99
"550" 683.125 "wdc" 46.99
"551" 683.042 "neem" 107.16
"552" 683.042 "wdc" 38.925
"553" 682.958 "neem" 103.57
"554" 682.958 "wdc" 31.815
"555" 682.875 "neem" 95.37
"556" 682.875 "wdc" 25.713
"557" 682.792 "neem" 82.87
"558" 682.792 "wdc" 20.782
"559" 682.708 "neem" 69.3
"560" 682.708 "wdc" 18.554
"561" 682.625 "neem" 57.21
"562" 682.625 "wdc" 17.726
"563" 682.542 "neem" 46.92
"564" 682.542 "wdc" 17.255
"565" 682.458 "neem" 38.12
"566" 682.458 "wdc" 16.069
"567" 682.375 "neem" 30.86
"568" 682.375 "wdc" 14.804
"569" 682.292 "neem" 24.15
"570" 682.292 "wdc" 13.413
"571" 682.208 "neem" 18.13
"572" 682.208 "wdc" 11.427
"573" 682.125 "neem" 13.93
"574" 682.125 "wdc" 9.9593
"575" 682.042 "neem" 11.54
"576" 682.042 "wdc" 9.7939
"577" 681.958 "neem" 9.53
"578" 681.958 "wdc" 10.527
"579" 681.875 "neem" 7.68
"580" 681.875 "wdc" 11.208
"581" 681.792 "neem" 6.96
"582" 681.792 "wdc" 12.686
"583" 681.708 "neem" 6.98
"584" 681.708 "wdc" 15.335
"585" 681.625 "neem" 7.17
"586" 681.625 "wdc" 17.627
"587" 681.542 "neem" 6.97
"588" 681.542 "wdc" 19.881
"589" 681.458 "neem" 6.94
"590" 681.458 "wdc" 21.938
"591" 681.375 "neem" 8.15
"592" 681.375 "wdc" 22.007
"593" 681.292 "neem" 8.1
"594" 681.292 "wdc" 20.217
"595" 681.208 "neem" 7.43
"596" 681.208 "wdc" 17.908
"597" 681.125 "neem" 6.81
"598" 681.125 "wdc" 16.408
"599" 681.042 "neem" 6.08
"600" 681.042 "wdc" 14.563
"601" 680.958 "neem" 6.17
"602" 680.958 "wdc" 12.395
"603" 680.875 "neem" 6.36
