"volcano_number" "volcano_name" "region" "subregion" "country" "latitude" "longitude" "tectonic_settings" "primary_volcano_type" "elevation" "last_eruption_year" "years_ago" "evidence_category" "population_within_5_km" "population_within_10_km" "population_within_30_km" "population_within_100_km" "major_rock_1" "major_rock_2" "major_rock_3" "major_rock_4" "major_rock_5" "minor_rock_1" "minor_rock_2" "minor_rock_3" "minor_rock_4" "minor_rock_5"
"29" 221200 "Kone" "Africa and Red Sea" "Africa (northeastern) and Red Sea" "Ethiopia" 8.788 39.701 "Rift zone / Continental crust (>25 km)" "Caldera" 1380 1820 200 "Eruption Observed" 7289 27271 255387 4245801 "Rhyolite" "Trachyte / Trachydacite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " "
"30" 290010 "Tomariyama [Golovnin]" "Kuril Islands" "Kuril Islands" "Japan - administered by Russia" 43.844 145.504 "Subduction zone / Intermediate crust (15-25 km)" "Caldera" 535 1848 172 "Eruption Observed" 1796 1796 2445 159344 "Andesite / Basaltic Andesite" "Dacite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " "
"31" 343060 "Ilopango" "México and Central America" "El Salvador and Honduras" "El Salvador" 13.672 -89.053 "Subduction zone / Continental crust (>25 km)" "Caldera" 450 1880 140 "Eruption Observed" 2049583 2049583 2948989 6689160 "Dacite" "Andesite / Basaltic Andesite" "Basalt / Picro-Basalt" " " " " "Rhyolite" " " " " " " " "
"32" 261070 "Singkut" "Indonesia" "Sumatra" "Indonesia" 3.248 98.501 "Subduction zone / Continental crust (>25 km)" "Caldera" 2181 1881 139 "Eruption Observed" 11833 21448 228453 7958409 "Andesite / Basaltic Andesite" "Dacite" " " " " " " " " " " " " " " " "
"33" 252040 "Dakataua" "Melanesia and Australia" "New Britain" "Papua New Guinea" -5.094 150.094 "Subduction zone / Continental crust (>25 km)" "Caldera" 408 1895 125 "Eruption Dated" 1147 1147 3743 113954 "Andesite / Basaltic Andesite" "Dacite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " "
"34" 252130 "Lolobau" "Melanesia and Australia" "New Britain" "Papua New Guinea" -4.92 151.158 "Subduction zone / Continental crust (>25 km)" "Caldera" 858 1912 108 "Eruption Observed" 7243 7243 9659 62340 "Basalt / Picro-Basalt" "Dacite" "Andesite / Basaltic Andesite" " " " " " " " " " " " " " "
"35" 357021 "Maipo" "South America" "Central Chile and Argentina" "Chile-Argentina" -34.164 -69.832 "Subduction zone / Continental crust (>25 km)" "Caldera" 5323 1912 108 "Eruption Observed" 3916 3916 8221 1684481 "Trachyandesite / Basaltic Trachyandesite" "Dacite" "Trachyte / Trachydacite" "Andesite / Basaltic Andesite" "Rhyolite" " " " " " " " " " "
"36" 312090 "Aniakchak" "Alaska" "Alaska Peninsula" "United States" 56.88 -158.17 "Subduction zone / Continental crust (>25 km)" "Caldera" 1341 1931 89 "Eruption Observed" 0 0 36 479 "Andesite / Basaltic Andesite" "Dacite" " " " " " " "Basalt / Picro-Basalt" "Trachyte / Trachydacite" "Trachyandesite / Basaltic Trachyandesite" " " " "
"37" 300140 "Maly Semyachik" "Kamchatka and Mainland Asia" "Kamchatka Peninsula" "Russia" 54.135 159.674 "Subduction zone / Continental crust (>25 km)" "Caldera" 1527 1952 68 "Eruption Observed" 98 98 497 10182 "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" " " " " " " "Dacite" " " " " " " " "
"38" 390030 "Deception Island" "Antarctica" "Antarctica and South Sandwich Islands" "Antarctica" -63.001 -60.652 "Intraplate / Continental crust (>25 km)" "Caldera" 602 1970 50 "Eruption Observed" 0 0 0 0 "Basalt / Picro-Basalt" "Trachybasalt / Tephrite Basanite" "Trachyandesite / Basaltic Trachyandesite" "Trachyte / Trachydacite" " " "Dacite" " " " " " " " "
