"volcano_number" "volcano_name" "eruption_number" "eruption_start_year" "event_number" "event_type" "event_remarks" "event_date_year" "event_date_month" "event_date_day"
"134" 332010 "Kilauea" 10066 1868 100170 "Pumice" NA NA NA NA
"135" 332010 "Kilauea" 10079 1924 100171 "Phreatic activity" NA NA NA NA
"136" 332010 "Kilauea" 10079 1924 100172 "Fatalities" NA 1924 5 18
"137" 332010 "Kilauea" 10079 1924 100173 "Earthquakes (undefined)" NA NA NA NA
"138" 332010 "Kilauea" 10079 1924 100174 "Blocks" NA NA NA NA
"139" 332010 "Kilauea" 10079 1924 100175 "Partial collapse at end of eruption" NA NA NA NA
"140" 332010 "Kilauea" 10080 1924 100177 "Lava flow(s)" NA NA NA NA
"141" 332010 "Kilauea" 10081 1927 100179 "Lava flow(s)" NA NA NA NA
"142" 332010 "Kilauea" 10081 1927 100180 "Lava lake" NA NA NA NA
"143" 332010 "Kilauea" 10081 1927 100181 "Lava fountains" NA NA NA NA
"144" 332010 "Kilauea" 10081 1927 100182 "Volcanic tremor" NA NA NA NA
"145" 332010 "Kilauea" 10081 1927 100183 "Earthquakes (undefined)" NA NA NA NA
"146" 332010 "Kilauea" 10082 1928 100185 "Debris avalanches" NA NA NA NA
"147" 332010 "Kilauea" 10082 1928 100186 "Earthquakes (undefined)" "Time and Type Unknown." NA NA NA
"148" 332010 "Kilauea" 10083 1929 100188 "Lava flow(s)" NA NA NA NA
"149" 332010 "Kilauea" 10083 1929 100189 "Lava lake" NA NA NA NA
"150" 332010 "Kilauea" 10083 1929 100190 "Lava fountains" NA NA NA NA
"151" 332010 "Kilauea" 10083 1929 100191 "Volcanic tremor" NA NA NA NA
"152" 332010 "Kilauea" 10083 1929 100192 "Earthquakes (undefined)" NA NA NA NA
"153" 332010 "Kilauea" 10083 1929 100193 "Deformation (inflation)" NA NA NA NA
"154" 332010 "Kilauea" 10083 1929 100194 "Deformation (deflation)" NA NA NA NA
"155" 332010 "Kilauea" 10084 1929 100196 "Lava flow(s)" NA NA NA NA
"156" 332010 "Kilauea" 10084 1929 100197 "Lava lake" NA NA NA NA
"157" 332010 "Kilauea" 10084 1929 100198 "Lava fountains" NA NA NA NA
"158" 332010 "Kilauea" 10084 1929 100199 "Volcanic tremor" NA NA NA NA
"159" 332010 "Kilauea" 10084 1929 100200 "Earthquakes (undefined)" NA NA NA NA
"160" 332010 "Kilauea" 10084 1929 100201 "Deformation (inflation)" NA NA NA NA
"161" 332010 "Kilauea" 10084 1929 100202 "Deformation (deflation)" NA NA NA NA
"162" 332010 "Kilauea" 10085 1930 100204 "Lava flow(s)" NA NA NA NA
"163" 332010 "Kilauea" 10090 1955 100205 "Evacuations" NA NA NA NA
"164" 332010 "Kilauea" 10090 1955 100206 "Lava fountains" NA NA NA NA
"165" 332010 "Kilauea" 10090 1955 100207 "Flames" NA NA NA NA
"166" 332010 "Kilauea" 10090 1955 100208 "Loud audible noises" NA NA NA NA
"167" 332010 "Kilauea" 10090 1955 100209 "Seismicity (volcanic)" "Before eruption." NA NA NA
"168" 332010 "Kilauea" 10090 1955 100210 "Seismicity (volcanic)" NA NA NA NA
"169" 332010 "Kilauea" 10090 1955 100211 "Deformation (undefined)" NA NA NA NA
"170" 332010 "Kilauea" 10090 1955 100212 "Pumice" NA NA NA NA
"171" 332010 "Kilauea" 10090 1955 100213 "Glow" NA NA NA NA
"172" 332010 "Kilauea" 10090 1955 100214 "Lava flow(s)" "Entered water." NA NA NA
"173" 332010 "Kilauea" 10091 1960 100217 "Explosion" "weak or small" NA NA NA
